光学字符识别	OCR
无友的	friendless
无反应的	unresponsive
无可争辩	indisputable
无可争辩	incontestable
无可指责	irreproachable
无可指责	irreproachably
无可指责的	blameless
无可指责的	reproachless
无可辩驳	unarguable
无可辩驳	incontrovertible
无可辩驳地	incontrovertibly
无可辩驳的	irrefutable
无可辩驳的	irrefragable
无叶的	leafless
无名	noname
无名	unsung
无名地	namelessly
无名的	nameless
无名的	faceless
无启发	unenlightening
无启发性的	unilluminating
无吸引力	unappealing
无味地	tastelessly
无味的	odorless
无味的	savorless
无回报的	unrequited
无国籍	stateless
无土的	soilless
无地的	landless
无墙的	wallless
无声	unvoice
无声	soundless
无声地	mutely
无声地	silently
无声的	songless
无声的	noiseless
无处	nowhere
无处不在	ubiquitous
无头状态	headlessness
无头的	headless
无套裤汉	sansculotte
无好奇心	incuriosity
无好奇心的	incurious
无妻的	wifeless
无委托的	briefless
无威胁	nonthreatening
无子女	childless
无孔	nonporous
无孔的	imperforate
无定形地	amorphously
无定形的	amorphous
无实际意义的	moot
无害	harmless
无害	innocuous
无害地	harmlessly
无害地	innocuously
无害性	harmlessness
无害性	innocuousness
无害的	hurtless
无家可归	homeless
无家可归	homelessness
无尽	endless
无尽	unending
无尽的	interminable
无尽的任务	EverQuest
无岸的	shoreless
无差别	undifferentiated
无差别	indiscrimination
无常	inconstant
无常	inconstancy
无常的	impermanent
无帽的	hatless
无序	unorder
无序的	unordered
无底	bottomless
无底的	plumbless
无异议	unchallenged
无异议的	unquestioned
无异议的	unobjectionable
无引导	unguided
无弹性	inelastic
无弹性	inelasticity
无形	intangible
无形	intangibility
无形体病	anaplasmosis
无形地	intangibly
无形地	shapelessly
无形的	unbodied
无形的	formless
无形资产	intangibles
无影的	shadowless
无忧	insouciance
无忧无虑	carefree
无性	asexual
无性恋	asexuality
无性生殖	agamogenesis
无患子	soapberry
无情	ruthless
无情	soulless
无情地	ruthlessly
无情地	inexorably
无情的	pitiless
无情的	heartless
无意	undesigned
无意	unintentional
无意义	unmeaning
无意义	senselessness
无意义地	senselessly
无意义地	meaninglessly
无意义的	senseless
无意义的	pointless
无意听到	overhear
无意听到	overheard
无意地	unknowingly
无意地	unwittingly
无意的	inadvertent
无意识	unconscious
无意识	unconsciousness
无意识地	unconsciously
无感	insentient
无感知的	impercipient
无感觉	insensate
无感觉	impassibility
无感觉的	insensible
无成效	unproductive
无戒心	unsuspecting
无所不在	omnipresence
无所不在的	omnipresent
无所事事	vegetate
无才	talentless
无执照	unlicensed
无技能	unskilled
无抵抗的	opposeless
无担保	unsecured
无损	lossless
无损剪辑	LosslessCut
无损压缩	lossless compression
无损缩放	Lossless Scaling
无损音乐	lossless music
无损音频	flac
无损音频	lossless audio
无接缝	jointless
无摩擦	frictionless
无操作	nop
无操作	noop
无支持	unsupported
无支持的	unbacked
无支持的	supportless
无攻击性的	offenseless
无政府	anarchic
无政府	anarchical
无政府主义	anarchism
无政府主义	anarchistic
无政府主义者	anarchist
无政府状态	anarchy
无故	unexcused
无故	causeless
无效	null
无效	invalid
无效地	invalidly
无效地	ineffectively
无效审判	mistrial
无效性	ineffectiveness
无效状态	nullity
无效的	diriment
无效的	nugatory
无敌	invincibility
无敌	invulnerability
无敌地	invincibly
无敌的	invincible
无敌的	unbeatable
无数	myriad
无数	zillions
无数据管理	NDM
无数的	untold
无数的	umpteen
无文字的	preliterate
无新闻的	newsless
无方向	undirected
无方向	undirectional
无方向性	nondirectional
无日期	undated
无星的	starless
无月	moonless
无服务器	serverless
无望	unpromising
无望地	hopelessly
无望的	hopeless
无望者	nonstarter
无期徒刑犯	lifer
无期限	termless
无机	inorganic
无条件	unconditioned
无条件	unconditional
无条件地	unqualifiedly
无条件地	unconditionally
无果	unfruitful
无柄的	sessile
无标价	unpriced
无标记	unmarked
无标题的	untitled
无树的	treeless
无根据	unfounded
无根据	ungrounded
无根据地	groundlessly
无根据的	baseless
无根据的	groundless
无根的	rootless
无框	rimless
无梦的	dreamless
无槽	unslotted
无模式的	modeless
无檐帽	beanie
无欢乐的	mirthless
无母的	motherless
无毒性的	avirulent
无比地	incomparably
无毛的	hairless
无气味的	scentless
无氧呼吸	anaerobic respiration
无水地	anhydrously
无水的	anhydrous
无汁的	sapless
无污点	unsullied
无法使用	unserviceable
无法保留	irretention
无法修复	irreparable
无法修复	irreparably
无法到达的	unreachable
无法回答	unanswerable
无法安慰	inconsolable
无法就业	unemployable
无法忍受地	intolerably
无法忍受的	intolerable
无法抑制	irrepressible
无法挽回	irretrievably
无法挽回	irretrievable
无法挽回的	irrecoverable
无法无天	lawlessness
无法无天的	lawless
无法治愈	cureless
无法确定的	indeterminable
无法获得的	unobtainable
无法补救的	remediless
无法表现的	unrepresentable
无法解决	insolvable
无法解决	unsolvable
无法解决地	inextricably
无法解决的	inextricable
无法解释	unaccountable
无法解释地	inexplicably
无法解释的	inexplicable
无法识别的	irrecognizable
无法辨认的	unrecognizable
无法追溯	irretraceable
无波	waveless
无流的	runless
无液气压计	aneroid
无激情的	passionless
无火的	fireless
无灵感	uninspired
无烟煤	anthracite
无烟煤的	anthracitic
无烟的	smokeless
无烟药	cordite
无爱的	loveless
无父的	fatherless
无特权	unprivileged
无特色	nondescript
无特色	characterless
无特色地	nondescriptly
无特色的	featureless
无球粒陨石	achondrite
无理	reasonless
无理	unjustifiable
无理数	surd
无理数	irrationals
无瑕	immaculate
无瑕	impeccable
无瑕疵	unspotted
无瑕疵	impeccability
无瑕疵的	unblemished
无瑕的	flawless
无生命	inanimate
无生命	lifelessness
无生命的	lifeless
无生气	deadness
无生气	inanimation
无生的	azoic
无用	useless
无用	inutility
无用性	uselessness
无用的	inutile
无用的	bootless
无畏	aweless
无畏	unafraid
无畏地	fearlessly
无畏地	undauntedly
无畏的	fearless
无畏的	dauntless
无畏舰	dreadnought
无疑地	doubtlessly
无疑地	undoubtedly
无疑心	unsuspicious
无疑的	undoubted
无疑的	doubtless
无症状地	asymptomatically
无痛的	painless
无盖的	lidless
无目标	aimless
无目的的	purposeless
无眼的	eyeless
无知	ignorance
无知	insipience
无知地	ignorantly
无知的	ignorant
无知的	nescient
无知者	ignoramus
无礼	pert
无礼	insolent
无礼地	impudently
无礼地	impertinently
无礼的	sassy
无礼的	lippy
无礼者	jackanapes
无神的	godless
无神论	atheism
无神论的	atheistic
无神论者	atheist
无私	unselfish
无私	unselfishness
无私地	unselfishly
无私的	selfless
无穷	infinity
无穷	exhaustless
无穷大	inf
无空间的	spaceless
无竞争力	uncompetitive
无端	gratuitousness
无端地	gratuitously
无端的	gratuitous
无管的	ductless
无籽的	seedless
无精打采	listless
无精打采的	spiritless
无系统的	unsystematic
无纠缠	nonentanglement
无约束	unconstrained
无约束的	unrestrained
无纪律	indiscipline
无纪律	undisciplined
无线	wireless
无线局域网	WLAN
无线局域网	Wireless LAN
无线电	radio
无线电发送	radioed
无线电广播	radiobroadcast
无线电报	radiotelegraphy
无线电报的	radiotelegraphic
无线电话	radiophone
无线电话	radiotelephone
无线电话学	radiotelephony
无线电通信	radioing
无线网络	WiFi
无线网络	Wi-Fi
无线网络扫描器	WiFi Scanner
无线网络探测器	WiFi Explorer
无线耳机	AirPods
无组织	disorganization
无组织的	disorganized
无经验的	unblooded
无经验的	inexperienced
无绳	cordless
无缓冲的	unbuffered
无缝的	seamless
无缺陷	indefectible
无罪	sinless
无罪	acquitted
无罪的	inculpable
无罪释放	acquitter
无罪释放	acquitting
无翅的	apterous
无翼的	apteral
无翼的	wingless
无耳的	earless
无耻	barefaced
无耻	impudicity
无耻地	shamelessly
无耻的	shameless
无聊	boredom
无聊的	bored
无聊的	boring
无肉的	fleshless
无肌肉的	muscleless
无肢的	limbless
无胡须的	beardless
无能	impot
无能	inept
无能力	incapable
无能力	incapacity
无能的	feckless
无能的	shiftless
无能者	incompetents
无脉	pulseless
无脊椎动物	invertebrate
无脊椎的	spineless
无脑	brainless
无脑地	mindlessly
无脑的	mindless
无脚的	footless
无臂的	armless
无舌的	tongueless
无舵的	rudderless
无良	unscrupulous
无良心的	conscienceless
无色	colorless
无色	colourless
无色的	achromatic
无花果	fig
无花果虫	figeater
无花瓣的	Apetalous
无菌	asepsis
无菌的	sterile
无菌的	aseptic
无营养	nonnutritive
无营养地	nonnutritively
无血的	bloodless
无表情的	expressionless
无衬线	sans-serif
无袖的	sleeveless
无装甲	unarmoured
无装饰	unadorned
无规则的	ruleless
无视	unseeing
无角牛	muley
无言	wordless
无计划的	planless
无记忆	memoryless
无论什么	whatever
无论何处	wherever
无论何处	whencesoever
无论何时	whensoever
无论哪个	whichever
无论如何	anyhow
无论如何	anyway
无论谁	whoever
无论谁	whomever
无论谁的	whosever
无证的	undocumented
无语	speechlessness
无语的	speechless
无误	unerring
无误	inerrancy
无调地	atonally
无调性	atonality
无调的	atonal
无谷歌	ungoogled
无谷歌浏览器	ungoogled-chromium
无赖	cad
无赖	rogue
无赖的	caddish
无赖的	rascally
无赖行为	knavery
无赖行为	rascality
无趣	unengaging
无趣	uninteresting
无趣地	uninterestingly
无足的	apod
无足轻重	nonentity
无跨度	spanless
无路的	pathless
无轨电车	trolleybus
无轨的	trackless
无辜	innocent
无辜	guiltless
无辜地	innocently
无辜地	guiltlessly
无辜者	innocents
无边	brimless
无边便帽	skullcap
无边帽	toque
无连接	connectionless
无遗嘱	intestacy
无遗嘱的	intestate
无遮盖的	uncovered
无酒精	nonalcoholic
无酵饼	matzos
无酵饼	matzoth
无重音	unaccented
无重音的	atonic
无野心	unambitious
无钥匙	keyless
无问题	issueless
无防备	unguarded
无防备	defenseless
无防御	undefended
无防御的	defenceless
无阳光的	sunless
无阴的	shadeless
无阶级的	classless
无阻尼	undamped
无阻碍	unhindered
无阻碍的	unimpeded
无限	infinitum
无限	infinitude
无限云	InfiniCloud
无限制地	unrestrictedly
无限制的	unrestricted
无限制的	unrestrictive
无限地	infinitely
无限期	indefinitely
无限的	infinite
无限的	unbounded
无雄蕊	anandrous
无鞍	bareback
无韵的	rhymeless
无顶的	roofless
无领的	collarless
无风的	windless
无马的	horseless
无齿的	toothless
无龙骨的	keelless
既得的	vested
既成	foregone
既然	sith
既视感	déjà vu
日产	nissan
日元	yen
日光	Nikko
日光	daylight
日光仪	heliograph
日光浴	sunbathe
日光浴室	solarium
日光疗法	heliotherapy
日内瓦	Geneva
日内瓦人	genevan
日冕	corona
日出	sunup
日出	sunrise
日历	cal
日历	calendar
日历协议	CalDAV
日场	matinee
日始	daystart
日子	days
日射强度计	pyrheliometer
日常	everyday
日常	quotidian
日式角色扮演游戏	JRPG
日式角色扮演游戏	Japanese Role-Playing Game
日德兰	Jutland
日心的	heliocentric
日志	log
日志	journal
日志序列	logseq
日志文件	logfile
日托	daycare
日报	dailies
日晒	insolation
日晒	solarisation
日晒处理	solarize
日晒处理	solarise
日晷	sundial
日晷指针	gnomon
日月	solunar
日期	date
日期时间	datetime
日期标记	datemark
日期线	dateline
日期错误	misdate
日本	Japan
日本	Nippon
日本动画制作协会	MAPPA
日本化	japanise
日本化	Nipponize
日本化的	Japanized
日本学	japanology
日本的	Japanese
日益	increasingly
日立	Hitachi
日耳曼尼亚	Germania
日耳曼敦	Germantown
日耳曼的	Germanic
日落	sunset
日落	sundown
日薪	diem
日记	diary
日记	daybook
日记作者	diarist
日课经	breviary
日间床	daybed
日食	eclipse
旧书目录	backlist
旧收件人	oldrecipient
旧石器时代	Paleolithic
早	early
早于	predate
早于	antedate
早午餐	brunch
早晨	morn
早晨的	matutinal
早熟	precocity
早熟	earliness
早熟的	rareripe
早熟的	precocial
早餐	breakfast
早餐者	breakfaster
旱生植物	xerophyte
旱生的	xeric
旱谷	arroyo
旱金莲	tropaeolum
旱金莲	nasturtium
旱鸭子	landlubber
时代	era
时代	epoch
时代精神	zeitgeist
时代错误	anachronism
时代错误地	anachronistically
时代错误的	anachronistic
时代集	epochs
时刻	moment
时刻地	momently
时刻表	timetable
时区	timezone
时尚	fad
时尚	fash
时尚贩子	fashionmonger
时常	oftentimes
时序数据库	InfluxDB
时序数据库	TimescaleDB
时效性	currentness
时期	period
时机	timing
时装	couture
时钟	clock
时间	time
时间偏移	timeshift
时间尺度	timescale
时间戳	ts
时间戳	TS
时间服务器	timeserver
时间机器	Time Machine
时间生物学	chronobiology
时间的	temporal
时间线	timeline
时间胶囊	Time Capsule
时间表	schedule
时髦	chic
时髦	tony
时髦作风	dandyism
时髦地	chicly
时髦地	nobbily
时髦的	hep
时髦的	jazzy
时髦者	swinger
旷工	absenteeism
旺盛	exuberance
旺盛的	exuberant
旺达	wanda
昂贵	expensive
昂贵	costliness
昂贵地	expensively
昂贵的	costly
昂贵的	pricey
昂首阔步	strut
昂首阔步	Swagger
昂首阔步地	swaggeringly
昆士兰	Queensland
昆宁	Kuenning
昆虫	insect
昆虫学	entomology
昆虫学家	entomologist
昆虫学的	entomological
昆西	quincy
昌西	Chauncey
昌迪加尔	Chandigarh
明亮地	brightly
明亮地	luminously
明亮的	bright
明亮的	luminous
明信片	postcard
明喻	simile
明基	BenQ
明天	tomorrow
明尼苏达人	minnesotan
明尼苏达州	Minnesota
明尼阿波利斯	Minneapolis
明希豪森	munchausen
明文	plaintext
明斯克	Minsk
明斯基	Minsky
明斯特干酪	Muenster
明星地位	stardom
明显	obvious
明显	patency
明显地	plainly
明显地	visibly
明显性	obviousness
明显的	evident
明显的	apparent
明智	wise
明智地	wisely
明智地	sanely
明智的	politic
明智的	sensible
明暗对照	chiaroscuro
明朝	ming
明治	Meiji
明白	understood
明白了	gotcha
明目张胆	flagrancy
明矾	alum
明确	explicit
明确	definite
明确地	expressly
明确地	decidedly
明确性	definiteness
明确性	explicitness
明胶	gelatin
明胶	gelatine
昏倒	faints
昏倒	fainted
昏厥	swoon
昏厥	fainting
昏昏欲睡地	drowsily
昏暗	murk
昏暗	dimness
昏暗地	dimly
昏暗地	murkily
昏暗的	dingy
昏暗的	murky
昏沉的	groggy
昏睡	sopor
昏睡	lethargy
昏睡的	soporous
昏迷	coma
昏迷	stupor
昏迷的	comatose
昏迷的	stuporous
易丢失的	losable
易事	cinch
易事	pushover
易于	apt
易享	EasyShare
易倾斜的	tippy
易兴奋性	excitability
易兴奋的	excitable
易卜生	Ibsen
易受	prone
易受伤害的	vulnerable
易受影响地	susceptibly
易受影响的	susceptive
易受影响的	susceptible
易受损的	damageable
易受暗示	suggestibility
易受骗的	dupable
易受骗的	gullible
易变地	changeably
易变的	volatile
易变的	changeable
易忘地	forgettably
易忘的	forgettable
易怒	irritability
易怒	irascibility
易怒地	crabbily
易怒的	shirty
易怒的	tetchy
易怒者	sorehead
易恶心的	squeamish
易惊的	skittish
易感性	impressibility
易感性	susceptibility
易感的	impressible
易打滑的	skiddy
易接受地	receptively
易接受性	receptiveness
易接受的	receptive
易撕裂的	lacerable
易操作的	wieldy
易洛魁人	Iroquois
易洛魁语	iroquoian
易消化	digestible
易液化的	liquescent
易溶的	diffluent
易潮解的	deliquescent
易燃性	inflammability
易燃的	tindery
易燃的	flammable
易犯罪的	peccable
易碎品	breakables
易碎性	friability
易碎性	frangibility
易碎的	cracky
易碎的	friable
易腐品	perishables
易腐性	corruptibility
易腐的	perishable
易腐的	corruptible
易被引诱的	seducible
易裂的	fissile
易说服	persuadable
易趣	ebay
易趣网	etsy
易迅	expansys
易错	mistakable
易错性	fallibility
易错的	fallible
星云	nebula
星云	nebulae
星云的	nebular
星体的	astral
星体的	stellar
星光	starlight
星光照耀的	starlit
星号	asterisk
星商	starsmerchant
星子	planetesimal
星尘	stardust
星巴克	starbucks
星座	horoscopes
星座	constellation
星座群	constellations
星形的	stelliform
星星	star
星期一	Mondays
星期三	Wednesday
星期二	Tuesday
星期五	fri
星期五	fri.
星期六	sat.
星期六	Saturday
星期四	Thursday
星期日	Sunday
星火	Genspark
星状的	starlike
星状的	stellate
星系	galaxies
星系间	intergalactic
星网	starknet
星群	asterism
星象罗盘	astrocompass
星际	interstellar
星际之门	Stargate
星际文件系统	IPFS
星际文件系统	InterPlanetary File System
星际的	interplanetary
映射	mapping
映射器	mapper
映照	mirrored
映照	mirroring
春化	jarovize
春化	jarovise
春天	spring
春天	springtime
春天的	vernal
春药	philtre
昧良心	unconscionable
昨天	yesterday
是	is
是	be
是否	whether
是的	yep
是的	yah
昴宿星团	Pleiades
昵称	petname
昵称	nickname
昼夜平分点	equinox
昼夜平分的	equinoctial
昼夜节律	circadian
昼行	diurnal
显像管	kinescope
显卡品牌	GeForce
显微图	micrograph
显微术	microscopy
显微术	micrography
显微照片	microphotograph
显微镜	microscope
显微镜学家	microscopist
显灵	apport
显然	obviously
显然地	evidently
显然地	apparently
显现	manifested
显现	manifesting
显眼的	conspicuous
显示	display
显示	manifest
显示中	displaying
显示器	displayer
显示服务器	xorg
显示管理器	SDDM
显著	marked
显著地	notably
显著地	markedly
显著的	notable
显著的	salient
显要	notables
显要	dignitary
显贵	magnifico
显赫	eminence
晋升	promotion
晋升	preferment
晋升军衔	breveted
晋升军衔	breveting
晋升者	promotee
晒伤	sunburn
晒太阳	bask
晒太阳	sunning
晒干的	sunbaked
晒晕的	sunstruck
晒过的	sunned
晒黑	tan
晒黑	suntan
晒黑的	tanned
晒黑的	sunburnt
晕厥	syncope
晕机	airsick
晕机症	airsickness
晕海宁	Dramamine
晕船	seasick
晕车	carsick
晕车	carsickness
晚上	evening
晚会	soiree
晚祷	vesper
晚祷	evensong
晚祷的	vesperal
晚餐	dinner
晚餐	supper
晚餐时间	dinnertime
晨星	daystar
晨祷	matin
普世主义	universalism
普世主义者	universalist
普世性	catholicity
普京	putin
普兰维尤	Plainview
普兰菲尔德	Plainfield
普利特龙	plitron
普利策	Pulitzer
普利茅斯	Plymouth
普卢米	Pulumi
普及	universalise
普及	popularization
普及化	universalize
普吉岛	phuket
普契尼	Puccini
普尔	pul
普尔	Poole
普尔曼	Pullman
普尔曼化	Pullmanize
普拉多	Prado
普拉提	pilates
普拉斯基	Pulaski
普拉特	Pratt
普拉特河	Platte
普拉特维尔	Prattville
普拉特维尔	Platteville
普拉达	prada
普拉麦克斯韦	pramaxwell
普朗克	Planck
普林尼	Pliny
普桑	Poussin
普渡	Purdue
普特	pood
普特南	Putnam
普瑞纳	Purina
普罗克斯迈尔	Proxmire
普罗克特	Procter
普罗克鲁斯忒斯	Procrustes
普罗塞庇娜	Proserpine
普罗康	procomm
普罗旺斯	Provence
普罗旺斯语	provençal
普罗旺斯语	provencal
普罗科菲耶夫	Prokofiev
普罗科菲耶夫	Prokofieff
普罗米修斯	Prometheus
普罗米修斯式	Promethean
普西	Pusey
普贝克	purbeck
普通人	everyman
普通性	commonness
普通的	ordinary
普通话	mandarin
普遍	popularly
普遍	prevalence
普遍地	universally
普遍地	prevalently
普遍性	ubiquity
普遍性	generality
普遍概念	universals
普遍的	rife
普遍的	prevalent
普里斯特利	Priestley
普里查德	Pritchard
普里西拉	Priscilla
普里阿摩斯	Priam
普雷斯利	Presley
普雷斯科特	Prescott
普雷斯顿	Preston
普韦布洛	Pueblo
普鲁卡因	procaine
普鲁塔克	Plutarch
普鲁士	Prussia
普鲁士化	Prussianization
普鲁士化者	Prussianizer
普鲁士的	Prussian
普鲁斯特	Proust
景天	sedum
景泰蓝	cloisonné
景泰蓝	cloisonne
景点	sights
景观	landscape
景观化	landscaped
景观设计	landscaping
景象	sight
景象	spectacle
晴朗	unclouded
晴朗	sunniness
晴朗的	sunny
晴雨表	weatherglass
晶体	crystalloid
晶体学	crystallography
晶体管	transistor
晶体管化	transistorise
晶体管化	transistorize
晶洞	geode
晶片机	Transputer
晶石的	sparry
晶石的	spathic
晶簇	druse
智人	sapiens
智利	Chile
智利人	Chilean
智力	intellect
智力	brainpower
智力上	intellectually
智力低下者	retardate
智力的	intellectual
智力缺陷	amentia
智力缺陷者	ament
智商	IQ
智商	iq
智性的	noetic
智慧	wisdom
智慧	sapience
智慧的	sapient
智慧的	sapiential
智者	sage
智者	sagem
智胜	outwit
智胜	outfox
智能	intelligence
智能合约	Smart Contract
智能手机	smartphone
智能设备管理	IDM
晾干	roughdry
晾晒	airing
晾衣夹	clothespin
晾衣架	airer
晾衣架	clotheshorse
晾衣绳	clothesline
暂停	pause
暂停	suspend
暂停的	suspended
暂定的	provisory
暂时	momentarily
暂时	transitorily
暂时地	temporally
暂时地	temporarily
暂时性	temporality
暂时的	transitory
暖房	housewarming
暗中	covertly
暗中的	darkling
暗室	darkroom
暗指	allude
暗杀	assassinate
暗杀	assassination
暗杀中	assassinating
暗杀了	assassinated
暗杀者	assassinator
暗流	undercurrent
暗淡	dim
暗淡的	subfusc
暗示	hint
暗示	imply
暗示中	hinting
暗示了	hinted
暗示地	suggestively
暗示性	allusiveness
暗示的	implied
暗示的	allusive
暗示着	implying
暗箱的	scioptic
暗色岩	whinstone
暗褐的	fuscous
暗视仪	scotoscope
暗语	codeword
暗迹管	skiatron
暗黑主题	darcula
暗黑主题	One Dark
暗黑破坏神	diablo
暮光	twilight
暴乱活动	rioting
暴乱者	rioter
暴力	violence
暴力地	violently
暴力猴	Violentmonkey
暴力的	violent
暴发户	upstart
暴发户	parvenu
暴君	tyrant
暴君	despot
暴徒	thug
暴徒	thuggee
暴怒	conniption
暴政	misrule
暴政	tyranny
暴民	mob
暴民统治	mobocracy
暴民统治	ochlocracy
暴民统治的	ochlocratic
暴民般的	mobbish
暴涨	stonk
暴虐	tyrannous
暴虐的	tyrannical
暴虐统治	tyrannise
暴虐统治	tyrannize
暴行	outrages
暴行	atrocity
暴跌	slump
暴跌	plummet
暴跌中	plummeting
暴躁	crankier
暴躁	testiness
暴躁地	testily
暴躁地	crustily
暴躁的	testy
暴躁的	cranky
暴雨	downpour
暴雨	rainstorm
暴露	baring
暴露	expose
暴露的	exposed
暴风雨	tempest
暴风雨中	storming
暴风雨的	stormy
暴风雪	bizzard
暴风雪	blizzard
暴食	overeat
暴食	gluttony
暴食症	bulimia
暴饮暴食	crapulence
暴龙	Tyrannosaurus
暹罗	Siam
暹罗的	Siamese
曝光不足	underexpose
曝光不足	underexposure
曲折	zigzag
曲折	tortuosity
曲折的	tortuous
曲木	bentwood
曲柄	crank
曲柄销	crankpin
曲棍球	hockey
曲率	curvature
曲目	repertoire
曲线	curve
曲线的	curvilinear
曲线美的	curvaceous
曲线金融	Curve Finance
曲解	misconstrue
曲解	misconstruction
曲言法	litotes
曲调	tune
曲轴	crankshaft
曲轴箱	crankcase
曲马多	tramadol
更不幸	unhappier
更不明智	unwiser
更不用说	fortiori
更丑	uglier
更丝滑	silkier
更严厉	harsher
更严格	stricter
更严重	graver
更严重的	severer
更丰满	plumper
更乱	messier
更亮	brighter
更便利	handier
更便宜	cheaper
更假	phonier
更健壮	haler
更健康	healthier
更僵硬	stiffer
更光滑	slicker
更公平	fairer
更内疚	guiltier
更冷	colder
更冷	chillier
更准备的	readier
更刺耳的	tinnier
更刻薄的	meaner
更勇敢	braver
更卑劣	baser
更厚	thicker
更友善	kinder
更友好	friendlier
更可取	preferable
更可爱的	lovelier
更可能	likelier
更同性恋	gayer
更吵	noisier
更咸	saltier
更响亮	louder
更响亮	sounder
更喜爱	fonder
更坚定	firmer
更坦率	franker
更壮	stouter
更多	more
更多雪	snowier
更大	bigger
更大的	larger
更大的	greater
更大胆的	bolder
更奇怪	odder
更奇怪的	queerer
更奇怪的	curiouser
更好	nicer
更好	better
更好者	betters
更孤独	lonelier
更安全	safer
更安静	quieter
更宏伟	grander
更容易	easier
更宽	broader
更宽的	wider
更密集的	denser
更富有	richer
更小	littler
更小的	tinier
更少	scarcer
更少的	scantier
更平滑	smoother
更平静	calmer
更年期	menopause
更年轻	younger
更幸运	luckier
更广阔	vaster
更弱的	weaker
更强	stronger
更强大	mightier
更强硬	tougher
更微妙	subtler
更微小	minuter
更微弱	fainter
更忙的	busier
更快	faster
更快	sooner
更快乐	happier
更恶劣	nastier
更悲伤	sadder
更愤怒	angrier
更愤怒的	furiouser
更懒	lazier
更抱歉	sorrier
更挑剔	fussier
更损失	lossier
更敏感	touchier
更敏捷	nimbler
更整洁	neater
更新	update
更新世	Pleistocene
更新中	updating
更新器	updater
更新日志	changelog
更新鲜	fresher
更明智	wiser
更昏暗	murkier
更暖的	warmer
更暗	darker
更暴风雨的	stormier
更有弹性	springier
更朴素	plainer
更朴素	homelier
更松	looser
更棕	browner
更模糊	vaguer
更模糊	fuzzier
更模糊的	foggier
更残忍	crueler
更毛的	hairier
更油的	oilier
更活泼的	zippier
更淘气	naughtier
更深	deeper
更清晰	clearer
更温和	gentler
更温顺	meeker
更湿	wetter
更滑稽	funnier
更满	fuller
更漂亮	prettier
更激烈的	fiercer
更灰	greyer
更灰	grayer
更热	hotter
更热衷的	keener
更狡猾	sneakier
更狡猾	shiftier
更理智	saner
更甜	sweeter
更生的	rawer
更疯狂	crazier
更疲倦的	wearier
更疼的	sorer
更病	sicker
更瘦	leaner
更白	whiter
更直	straighter
更真实的	truer
更短	shorter
更硬	harder
更礼貌	politer
更稀有	rarer
更稀疏	sparser
更稳	steadier
更稳定	stabler
更穷	poorer
更空白的	blanker
更空的	emptier
更窄	narrower
更笨	dumber
更简单的	simpler
更粉	pinker
更粗俗的	grosser
更粗糙	cruder
更粗糙	rougher
更粗糙的	coarser
更粗鲁的	ruder
更粘	stickier
更精细	finer
更糟	worse
更紧凑	compacter
更紧张的	tenser
更紧的	tighter
更紫	purpler
更红	redder
更纯净	purer
更绿的	greener
更绿草	grassier
更老的	older
更聋	deafer
更聪明	smarter
更聪明	cleverer
更肮脏	filthier
更胖	fatter
更胖	chubbier
更能干	abler
更脆	crunchier
更脏	dirtier
更脏	dustier
更自由	freer
更舒适	cozier
更舒适	homier
更节省者	sparer
更苍白	paler
更苗条	slenderer
更苦	bitterer
更英俊	handsomer
更荒凉	bleaker
更蓝	bluer
更蓬松的	fluffier
更薄	thinner
更虚弱	feebler
更裸露	barer
更谦逊	humbler
更贵	dearer
更软	softer
更轻快	brisker
更迅速	swifter
更近	nearer
更近的	closer
更远	farther
更迟钝	duller
更邪恶的	eviller
更酸	sourer
更醉	drunker
更重	heavier
更野的	wilder
更野蛮者	savager
更钝	blunter
更锋利	sharper
更长	longer
更闷	stuffier
更阴暗	shadier
更阴的	cloudier
更陡的	steeper
更静	stiller
更饿	hungrier
更骄傲的	prouder
更高	taller
更高兴	gladder
更高的	higher
更高贵	nobler
更黄	yellower
更黑	blacker
曼	Mann
曼丹人	mandan
曼利	Manley
曼努埃尔	Manuel
曼哈顿	Manhattan
曼哈顿化	Manhattanize
曼密苹果	mammee
曼岛猫	manx
曼巴	mamba
曼弗雷德	Manfred
曼彻斯特	Manchester
曼德	maund
曼德勃罗	Mandelbrot
曼德拉草	mandrake
曼斯	Mans
曼斯菲尔德	Mansfield
曼森	manson
曼波舞	mambo
曼特斯	mantes
曼科夫斯基	Mankowski
曼维尔	Manville
曼荼罗	mandala
曼萨尼塔	manzanita
曼西	Muncie
曼谷	bangkok
曼迪	mandy
曼陀林	mandolin
曼陀罗	datura
曼陀罗	jimsonweed
曾经	ever
曾经的	onetime
替代	stead
替代	substitute
替代品	ersatz
替代方案	alternatives
替代的	vicarious
替代的	alternative
替代者	surrogate
替代者	alternates
替换	replace
替换	replacement
替换者	replacer
替罪羊	Patsy
替罪羊	Patsies
替补	benched
最	most
最上面的	uppermost
最下	undermost
最下层	nethermost
最不幸	unhappiest
最不明智	unwisest
最丑	ugliest
最东的	easternmost
最丝滑	silkiest
最严格	strictest
最严重	gravest
最严重的	severest
最中间的	midmost
最乱	messiest
最亮	brightest
最亲爱	dearest
最优性	optimality
最低	lowest
最低点	nadir
最低点	rockbottom
最佳	optima
最佳	optimum
最佳地	optimally
最佳的	optimal
最便利	handiest
最便宜	cheapest
最值得	worthiest
