安全	aq
农业文明	nywm
年幼无知	nywv
弄一下	nyx
难以想象	nyxx
难以形容	nyxr
难以下咽	nyxy
奶油小生	nyxu
暖洋洋	nyy
难以言喻	nyyy
难以预料	nyyl
难以言状	nyyv
难以言说	nyyu
农业银行	nyyh
囊萤映雪	nyyx
难以自抑	nyzy
难以自拔	nyzb
脑子不好使	nzbu
男子汉大丈夫	nzhf
脑子进水	nzju
宁做鸡头	nzjt
宁做鸡头不做凤尾	nzjw
男左女右	nzny
男尊女卑	nznb
脑子缺根弦	nzqx
挪作他用	nzty
泥足深陷	nzux
黏在一起	nzyq
念兹在兹	nzzz
欧洲	ov
偶尔	oe
偶然	or
偶像	ox
欧阳	oy
呕吐	ot
藕断丝连	odsl
嗯呐嗯呐	onon
呕心沥血	oxlx
欧亚大陆	oydl
偶一为之	oywv
培训	px
平台	pt
配置	pv
漂亮	pl
脾气	pq
配送	ps
普洱	pe
骗人	pr
拼音	py
拍案而起	paeq
拍案叫绝	pajj
平安无事	pawu
平安喜乐	paxl
偏安一隅	payy
疲惫不堪	pbbk
排兵布阵	pbbv
跑不掉	pbd
平板电脑	pbdn
迫不得已	pbdy
扑鼻而来	pbel
喷薄而出	pbei
蓬勃发展	pbfv
拍板成交	pbij
迫不及待	pbjd
贫病交加	pbjj
跑不了庙	pblm
漂不漂亮	pbpl
怕不怕死	pbps
平步青云	pbqy
配不上	pbu
蓬荜生辉	pbuh
蓬勃生机	pbuj
蓬勃朝气	pbvq
平白无故	pbwg
漂泊无定	pbwd
普遍性	pbx
蓬勃向上	pbxu
喷薄欲出	pbyi
蓬荜增辉	pbzh
皮糙肉厚	pcrh
破财免灾	pcmz
骗财骗色	pcps
破财消灾	pcxz
普渡慈航	pdch
平地而起	pdeq
平地风波	pdfb
平等互利	pdhl
庖丁解牛	pdjn
跑得了和尚	pdlu
跑断了腿	pdlt
潘多拉魔盒	pdlh
抛到脑后	pdnh
跑东跑西	pdpx
平地起高楼	pdql
平淡无奇	pdwq
平等相待	pdxd
怕得要死	pdys
破而后立	pehl
捧腹大笑	pfdx
贫富分化	pffh
皮肤过敏	pfgm
蚍蜉撼树	pfhu
剖腹产	pfi
破釜沉舟	pfiv
贫富差距	pfij
泼妇骂街	pfmj
佩服佩服	pfpf
平分秋色	pfqs
抛夫弃子	pfqz
颇费周折	pfvv
劈风斩浪	pfvl
平反昭雪	pfvx
匹夫之勇	pfvy
匹夫无罪	pfwz
匹夫有责	pfyz
票贩子	pfz
浦发银行	pfyh
赔个不是	pgbu
盘根错节	pgcj
捧高踩低	pgcd
刨根究底	pgjd
屁滚尿流	pgnl
破罐破摔	pgpu
捧个人场	pgri
爬高上低	pgud
披挂上阵	pguv
旁观者清	pgvq
刨根问底	pgwd
破罐子破摔	pgzu
徘徊不前	phbq
披红戴绿	phdl
披红挂彩	phgc
炮火连天	phlt
铺床叠被	pidb
派出机构	pijg
破除迷信	pimx
骗吃骗喝	piph
泼出去的水	piqu
鹏程万里	piwl
排除万难	piwn
片甲不留	pjbl
片甲不存	pjbc
破茧而出	pjei
破茧成蝶	pjid
破镜重圆	pjiy
破旧立新	pjlx
拼尽全力	pjql
牝鸡司晨	pjsi
否极泰来	pjtl
抛家舍业	pjuy
披荆斩棘	pjvj
披坚执锐	pjvr
平均主义	pjvy
炮舰外交	pjwj
破家县令	pjxl
贫困地区	pkdq
贫困交加	pkjj
贫困潦倒	pkld
凭空捏造	pknz
怕苦怕累	pkpl
皮开肉绽	pkrv
破烂不堪	plbk
纰漏百出	plbi
赔礼道歉	pldq
普罗大众	pldv
扑了个空	plgk
跑了和尚跑不了庙	plhm
攀龙附凤	plff
赔了夫人又折兵	plfb
帕拉马里博	plmb
拼了老命	pllm
噼里啪啦	plpl
跑来跑去	plpq
频来入梦	plrm
普里什蒂纳	plun
蒲柳之姿	plvz
炮烙之刑	plvx
瞟了一眼	plyy
碰了一鼻子灰	plyh
皮里阳秋	plyq
排列组合	plzh
平民百姓	pmbx
盆满钵满	pmbm
蓬门荜户	pmbh
匹马单枪	pmdq
披麻戴孝	pmdx
扑面而来	pmel
破门而出	pmei
破门而入	pmer
帕米尔高原	pmey
跑马观花	pmgh
拍马屁	pmp
贫民区	pmq
拼命三郎	pmsl
旁门左道	pmzd
排难解纷	pnjf
跑哪去了	pnql
睥睨天下	pntx
平平安安	ppaa
偏旁部首	ppbu
蓬蓬勃勃	ppbb
拼拼凑凑	ppcc
平平淡淡	ppdd
瓢泼大雨	ppdy
频频点头	ppdt
铺平道路	ppdl
平平凡凡	ppff
仆仆风尘	ppfi
瓶瓶罐罐	ppgg
平平常常	ppii
翩翩公子	ppgz
批评教育	ppjy
平平静静	ppjj
漂漂亮亮	ppll
拍拍马屁	ppmp
婆婆妈妈	ppmm
噼噼啪啪	pppp
拍拍屁股	pppg
翩翩起舞	ppqw
飘飘若仙	pprx
普普通通	pptt
爬坡上坎	ppuk
翩翩少年	ppun
朴朴实实	ppuu
平铺直叙	ppvx
批评指正	ppvv
平铺直述	ppvu
平平稳稳	ppww
平平无奇	ppwq
泼皮无赖	ppwl
碰碰运气	ppyq
飘飘欲仙	ppyx
撇撇嘴	ppz
平平仄仄	ppzz
劈啪作响	ppzx
旁敲侧击	pqcj
跑前跑后	pqph
平起平坐	pqpz
抛妻弃子	pqqz
迫切需要	pqxy
庞然大物	prdw
飘然而至	prev
飘若浮云	prfy
判若鸿沟	prhg
翩若惊鸿	prjh
判若两人	prlr
翩然起舞	prqw
飘然若仙	prrx
皮肉之苦	prvk
旁若无人	prwr
怦然心动	prxd
判若云泥	pryn
菩萨保佑	psby
菩萨低眉	psdm
拼死拼活	psph
盘算盘算	psps
婆娑起舞	psqw
菩萨心肠	psxi
拼死一搏	psyb
平头百姓	ptbx
破土动工	ptdg
滂沱大雨	ptdy
泼天大祸	ptdh
破土而出	ptei
娉婷婀娜	pten
破涕而笑	ptex
铺天盖地	ptgd
劈头盖脸	ptgl
蓬头垢面	ptgm
劈头盖脑	ptgn
抛头露面	ptlm
抛头露脸	ptll
品头论足	ptlz
破铜烂铁	ptlt
抛头颅洒热血	ptlx
娉婷袅娜	ptnn
扑通扑通	ptpt
偏听偏信	ptpx
评头品足	ptpz
披头散发	ptsf
普天同庆	pttq
普天之下	ptvx
平头正脸	ptvl
破涕为笑	ptwx
偏听则暗	ptza
平时不努力	publ
平时不烧香	pubx
排山倒海	pudh
葡式蛋挞	pudt
披霜带露	pudl
拍手称快	puik
拍手叫好	pujh
普世价值	pujv
盘山路	pul
平沙落雁	puly
扑朔迷离	puml
屁事没有	pumy
婆说婆有理	pupl
爬山涉水	puuu
胼手胝足	puvz
朴实无华	puwh
萍水相逢	puxf
蹒跚学步	puxb
派上用场	puyi
旁征博引	pvby
皮之不存，毛将焉附	pvbf
皮之不存	pvbc
破绽百出	pvbi
品种繁多	pvfd
铺张浪费	pvlf
旁枝末节	pvmj
抛之脑后	pvnh
破竹之势	pvvu
片纸只字	pvvz
抛砖引玉	pvyy
披着羊皮的狼	pvyl
颇为不易	pwby
片瓦不留	pwbl
破瓦寒窑	pwhy
片瓦无存	pwwc
脾胃虚弱	pwxr
盼望已久	pwyj
平稳运行	pwyx
披星戴月	pxdy
郫县豆瓣	pxdb
平心而论	pxel
盘膝而坐	pxez
婆媳关系	pxgx
偏向虎山行	pxhx
平心静气	pxjq
品学兼优	pxjy
平行空间	pxkj
派系林立	pxll
培训培训	pxpx
旁系亲属	pxqu
皮笑肉不笑	pxrx
咆哮如雷	pxrl
贫下中农	pxvn
偏信则暗	pxza
疲于奔命	pybm
疲于奔波	pybb
碰一鼻子灰	pybh
喷涌而出	pyei
漂洋过海	pygh
颇有成效	pyix
破衣烂衫	pylu
排忧解难	pyjn
平易近人	pyjr
便宜没好货	pymh
培养培养	pypy
朋友妻不可欺	pyqq
喷云吐雾	pytw
平庸之辈	pyvb
片言只语	pyvy
片言只字	pyvz
便宜无好货	pywh
颇有微词	pywc
拼音文字	pywz
迫于无奈	pywn
皮影戏	pyx
旁逸斜出	pyxi
颇有心得	pyxd
迫于形势	pyxu
疲于应付	pyyf
拼音字母	pyzm
贫嘴薄舌	pzbu
贫嘴贱舌	pzju
迫在眉睫	pzmj
捧在手里	pzul
捧在手心	pzux
其中	qv
确定	qd
期间	qj
缺乏	qf
其次	qc
千万	qw
亲自	qz
奇怪	qg
全额	qe
切换	qh
群殴	qo
弃暗投明	qatm
乞哀告怜	qagl
寝不安席	qbax
区别不大	qbbd
前半部分	qbbf
千杯不醉	qbbz
千般不好	qbbh
七八点钟	qbdv
穷兵黩武	qbdw
气不打一处来	qbdl
七八个人	qbgr
七八个月	qbgy
岂不怪哉	qbgz
取保候审	qbhu
泣不成声	qbiu
情比金坚	qbjj
岂不可惜	qbkx
拳不离手	qblu
岂不美哉	qbmz
瞧不起	qbq
奇不奇怪	qbqg
妻不如妾	qbrq
妾不如偷	qbrt
岂不是	qbu
七八十岁	qbus
前不着村，后不着店	qbvd
千变万化	qbwh
轻薄无礼	qbwl
千遍万遍	qbwb
七八月份	qbyf
祛病延年	qbyn
翘辫子	qbz
情不自禁	qbzj
情不自已	qbzy
强词夺理	qcdl
青菜萝卜各有所爱	qcla
群策群力	qcql
切磋切磋	qcqc
去粗取精	qcqj
青葱岁月	qcsy
轻财重义	qcvy
千错万错	qcwc
七彩祥云	qcxy
七彩阳光	qcyg
清脆悦耳	qcye
青翠欲滴	qcyd
遣词造句	qczj
气度不凡	qdbf
齐大非偶	qdfo
请多关照	qdgv
裙带关系	qdgx
青灯古佛	qdgf
七大姑八大姨	qdgy
恰到好处	qdhi
青灯黄卷	qdhj
情窦初开	qdik
枪打出头鸟	qdin
屈打成招	qdiv
拳打脚踢	qdjt
千叮咛万嘱咐	qdnf
情到浓时	qdnu
敲打敲打	qdqd
巧夺天工	qdtg
求大同，存小异	qdty
前段时间	qduj
气定神闲	qdux
气大伤身	qduu
请多指教	qdvj
墙倒众人推	qdvt
千刀万剐	qdwg
千叮万嘱	qdwv
期待已久	qdyj
气得要死	qdys
取大优先	qdyx
锲而不舍	qebu
千儿八百	qebb
求而不得	qebd
取而代之	qedv
妻儿老小	qelx
千恩万谢	qewx
轻而易举	qeyj
千方百计	qfbj
起伏不定	qfbd
情非得已	qfdy
棋逢对手	qfdu
起伏跌宕	qfdd
棋逢对手，将遇良才	qfdc
秋风过耳	qfge
奇峰怪石	qfgu
前赴后继	qfhj
前俯后仰	qfhy
勤奋好学	qfhx
千帆竞发	qfjf
凄风苦雨	qfky
凄风冷雨	qfly
清风明月	qfmy
巧妇难为无米之炊	qfni
欺负欺负	qfqf
恰逢其会	qfqh
秋风秋雨	qfqy
秋风送爽	qfsu
秋风瑟瑟	qfss
千夫所指	qfsv
秋风扫落叶	qfsy
气愤填膺	qfty
切肤之痛	qfvt
千分之一	qfvy
全副武装	qfwv
秋风萧瑟	qfxs
清风徐来	qfxl
七分像鬼	qfxg
确非易事	qfyu
气个半死	qgbs
七拐八拐	qgbg
千古不变	qgbb
七个不服	qgbf
缺胳膊少腿	qgbt
七拱八翘	qgbq
乾纲独断	qgdd
全国第一	qgdy
全国各地	qggd
曲高和寡	qghg
去国怀乡	qghx
气贯长虹	qgih
千古绝唱	qgji
强弓劲弩	qgjn
清规戒律	qgjl
前功尽弃	qgjq
勤工俭学	qgjx
穷根究底	qgjd
轻歌曼舞	qgmw
清肝明目	qgmm
清官难断家务事	qgnu
强干弱枝	qgrv
岂敢岂敢	qgqg
倾国倾城	qgqi
桥归桥，路归路	qgql
秋高气爽	qgqu
情根深种	qguv
窃钩者诛	qgvv
窃国者侯	qgvh
旗鼓相当	qgxd
敲骨吸髓	qgxs
奇光异彩	qgyc
气管炎	qgy
抢购一空	qgyk
强弓硬弩	qgyn
千古一帝	qgyd
棋高一着	qgyv
岂敢造次	qgzc
其怪自败	qgzb
千古罪人	qgzr
千回百转	qhbv
劝和不劝离	qhbl
青黄不接	qhbj
欺行霸市	qhbu
七荤八素	qhbs
清华北大	qhbd
前呼后拥	qhhy
秦皇汉武	qhhw
前后夹击	qhjj
奇货可居	qhkj
权衡利弊	qhlb
骑虎难下	qhnx
权衡轻重	qhqv
秋后算账	qhsv
秋毫无犯	qhwf
千呼万唤	qhwh
恰好相反	qhxf
情何以堪	qhyk
气候宜人	qhyr
奇花异草	qhyc
奇花异木	qhym
漆黑一片	qhyp
漆黑一团	qhyt
青红皂白	qhzb
前后左右	qhzy
权衡再三	qhzs
清华大学	qhdx
千锤百炼	qibl
清茶淡饭	qidf
气沉丹田	qidt
倾巢而出	qiei
倾巢出动	qiid
轻车简从	qijc
浅尝即止	qijv
清澈见底	qijd
气冲牛斗	qind
青春年少	qinu
七尺男儿	qine
气喘如牛	qirn
前程似锦	qisj
切齿痛恨	qith
轻车熟路	qiul
前车之鉴	qivj
浅尝辄止	qivv
起承转合	qivh
前尘往事	qiwu
千穿万穿	qiwi
气冲霄汉	qixh
青出于蓝	qiyl
前程远大	qiyd
气急败坏	qjbh
千娇百媚	qjbm
请将不如激将	qjbj
趋吉避凶	qjbx
青筋暴起	qjbq
倾家荡产	qjdi
缺斤短两	qjdl
屈居第二	qjde
气极反笑	qjfx
全军覆没	qjfm
穷家富路	qjfl
抢尽风头	qjft
前脚刚走	qjgz
前几个月	qjgy
前倨后恭	qjhg
勤俭持家	qjij
情景交融	qjjr
勤俭节约	qjjy
轻解罗裳	qjlu
勤加练习	qjlx
强奸民意	qjmy
千金买笑	qjmx
千金买骨	qjmg
千金难求	qjnq
倾尽全力	qjql
切记切记	qjqj
请君入瓮	qjrw
其疾如风	qjrf
七局四胜	qjsu
千金散尽还复来	qjsl
曲径通幽	qjty
弃旧图新	qjtx
缺斤少两	qjul
强将手下无弱兵	qjub
气绝身亡	qjuw
齐家治国	qjvg
千斤重担	qjvd
千钧重负	qjvf
情急之下	qjvx
秦晋之好	qjvh
情急智生	qjvu
欺君之罪	qjvz
千金之子，坐不垂堂	qjvt
迄今为止	qjwv
取决于	qjy
穷极一生	qjyu
齐集于此	qjyc
齐聚一堂	qjyt
千金一诺	qjyn
千金一掷	qjyv
千军易得	qjyd
轻举妄动	qjwd
千家万户	qjwh
穷极无聊	qjwl
千军万马	qjwm
欺君罔上	qjwu
清静无为	qjww
千金小姐	qjxj
千钧一发	qjyf
强加于人	qjyr
琼浆玉液	qjyy
奇技淫巧	qjyq
轻口薄舌	qkbu
清可见底	qkjd
穷寇莫追	qkmv
晴空霹雳	qkpl
穷苦人家	qkrj
请客送礼	qksl
顷刻之间	qkvj
晴空万里	qkwl
穷寇勿追	qkwv
七零八落	qlbl
七里八乡	qlbx
千里不同风	qlbf
七老八十	qlbu
趋利避害	qlbh
曲里八拐	qlbg
七零八碎	qlbs
敲锣打鼓	qldg
其利断金	qldj
枪林弹雨	qldy
千里搭长棚	qldp
千里鹅毛	qlem
曲里拐弯	qlgw
秦楼楚馆	qlig
嘁哩喀喳	qlki
墙里开花墙外香	qlkx
去留两难	qlln
清理门户	qlmh
轻拢慢捻	qlmn
亲力亲为	qlqw
其乐融融	qlrr
千里送鹅毛	qlsm
千里迢迢	qltt
清丽脱俗	qlts
千里同风	qltf
千里之堤	qlvd
情理之中	qlvv
千里之行	qlvx
骑驴找马	qlvm
其乐无穷	qlwq
群龙无首	qlwu
歧路亡羊	qlwy
前列腺	qlx
前列腺炎	qlxy
亲了一下	qlyx
全力以赴	qlyf
千里姻缘一线牵	qlyq
欠了一屁股债	qlyv
青龙偃月刀	qlyd
琼楼玉宇	qlyy
妻离子散	qlzs
其貌不扬	qmby
轻描淡写	qmdx
全面发展	qmfv
全面贯彻	qmgi
勤勉尽责	qmjz
亲密接触	qmji
群魔乱舞	qmlw
去没去	qmq
去没去过	qmqg
启蒙思想	qmsx
犬马之劳	qmvl
青梅竹马	qmvm
其名为鲲	qmwk
其鸣也哀	qmya
阡陌纵横	qmzh
勤能补拙	qnbv
欺男霸女	qnbn
青年才俊	qncj
强扭的瓜不甜	qndt
千年等一回	qndh
轻诺寡信	qngx
墙内开花墙外香	qnkx
去哪了	qnl
千年老妖	qnly
轻拿轻放	qnqf
去年同期	qntq
强弩之末	qnvm
七年之痒	qnvy
千难万险	qnwx
千难万阻	qnwz
千年王八	qnwb
千难万难	qnwn
其奈我何	qnwh
倾囊相授	qnxu
迁怒于人	qnyr
情难自禁	qnzj
七拼八凑	qpbc
七平八稳	qpbw
倾盆大雨	qpdy
全盘否定	qpfd
前仆后继	qphj
亲朋好友	qphy
全盘皆输	qpju
前怕狼，后怕虎	qplh
枪炮齐鸣	qpqm
全票通过	qptg
拳怕少壮	qpuv
强迫症	qpv
七品芝麻官	qpvg
全盘西化	qpxh
千篇一律	qpyl
千秋万岁	qqws
千秋万载	qqwz
千秋伟业	qqwy
期期艾艾	qqaa
七七八八	qqbb
崎岖不平	qqbp
千奇百怪	qqbg
凄凄惨惨	qqcc
区区此心	qqcx
全权代表	qqdb
敲敲打打	qqdd
群情鼎沸	qqdf
千秋大业	qqdy
群起而攻之	qqev
牵强附会	qqfh
奇奇怪怪	qqgg
群起攻之	qqgv
前前后后	qqhh
强取豪夺	qqhd
清清楚楚	qqii
妻妾成群	qqiq
权倾朝野	qqiy
权钱交易	qqjy
茕茕孑立	qqjl
谦谦君子	qqjz
群情激奋	qqjf
群情激昂	qqja
取其精华	qqjh
勤勤恳恳	qqkk
七窍流血	qqlx
七情六欲	qqly
起起落落	qqll
强强联合	qqlh
强强联手	qqlu
亲戚朋友	qqpy
七擒七纵	qqqz
亲亲热热	qqrr
轻轻松松	qqss
窃窃私语	qqsy
七七四十九	qqsj
全取三分	qqsf
全情投入	qqtr
琴棋书画	qquh
确确实实	qquu
七窍生烟	qquy
曲曲折折	qqvv
乔迁之喜	qqvx
千秋万代	qqwd
千千万万	qqww
阒其无人	qqwr
恰恰相反	qqxf
区区小事	qqxu
鹊桥相会	qqxh
求全责备	qqzb
去其糟粕	qqzp
全然不同	qrbt
全然不顾	qrbg
全然不知	qrbv
求仁得仁	qrdr
弃若敝履	qrbl
亲如骨肉	qrgr
轻如鸿毛	qrhm
欺软怕硬	qrpy
恰如其分	qrqf
强人所难	qrsn
欺人太甚	qrtu
亲如手足	qruz
齐人之福	qrvf
沁人心脾	qrxp
确认一下	qryx
千人一面	qrym
杞人忧天	qryt
气若游丝	qrys
气若幽兰	qryl
前人栽树，后人乘凉	qrzl
七死八活	qsbh
求死不能	qsbn
起死回生	qshu
前思后想	qshx
琴瑟和鸣	qshm
奇思妙想	qsmx
琴瑟琵琶	qspp
情随事迁	qsuq
千丝万缕	qswl
前所未闻	qsww
前所未见	qswj
前所未有	qswy
千算万算	qsws
轻松写意	qsxy
轻松愉快	qsyk
轻松自如	qszr
青天白日	qtbr
求同存异	qtcy
蜻蜓点水	qtdu
奇谈怪论	qtgl
清汤挂面	qtgm
情同骨肉	qtgr
清汤寡水	qtgu
前凸后翘	qthq
钱塘潮	qti
亲痛仇快	qtik
情同姐妹	qtjm
囚徒困境	qtkj
穷途末路	qtml
去他妈的	qtmd
去他娘的	qtnd
晴天霹雳	qtpl
掐头去尾	qtqw
全体人员	qtry
前提条件	qttj
气吞山河	qtuh
情同手足	qtuz
青铜时代	qtud
千头万绪	qtwx
前途未卜	qtwb
前途无量	qtwl
气吞万里如虎	qtwh
禽兽不如	qubr
七上八下	qubx
求生不得	qubd
寝食不安	quba
求神拜佛	qubf
青山不改	qubg
情深不寿	qubu
欺世盗名	qudm
穷山恶水	queu
全身而退	quet
七十二变	queb
七十二行	queh
螓首蛾眉	quem
亲生骨肉	qugr
全神贯注	qugv
囚首垢面	qugm
七十古稀	qugx
秋水共长天一色	qugs
气势恢宏	quhh
清水出芙蓉	quir
亲身经历	qujl
齐声叫好	qujh
穷奢极欲	qujy
切实可行	qukx
切身利益	quly
青史留名	qulm
欺上瞒下	qumx
欺师灭祖	qumz
青少年	qun
其实难副	qunf
寝食难安	quna
七十年代	qund
气势磅礴	qupb
欺善怕恶	qupe
翘首盼望	qupw
轻手轻脚	quqj
怯声怯气	quqq
气势如虹	qurh
强手如林	qurl
请神容易送神难	qurn
情深似海	qush
欺霜赛雪	qusx
切身体会	quth
漆身吞炭	qutt
全胜时期	quuq
求神问卜	quwb
千山万水	quwu
欺上罔下	quwx
气煞我也	quwy
轻声细语	quxy
求胜心切	quxq
企事业单位	quyw
翘首以待	quyd
清水衙门	quym
翘首以盼	quyp
情深缘浅	quyq
情深义重	quyv
气数已尽	quyj
青山依旧在	quyz
勤政爱民	qvam
求之不得	qvbd
弃之不用	qvby
牵着不走，打着倒退	qvbt
却之不恭	qvbg
取之不尽	qvbj
七折八扣	qvbk
穷追不舍	qvbu
牵着鼻子走	qvbz
强制措施	qvcu
乔装打扮	qvdb
浅斟低唱	qvdi
轻重倒置	qvdv
枪支弹药	qvdy
齐抓共管	qvgg
强中更有强中手	qvgu
轻重缓急	qvhj
前瞻后顾	qvhg
欠债还钱	qvhq
秦砖汉瓦	qvhw
驱逐出境	qvij
轻装简从	qvjc
屈指可数	qvku
弃之可惜	qvkx
清正廉洁	qvlj
清正廉明	qvlm
群众路线	qvlx
敲诈勒索	qvls
曲折离奇	qvlq
穷追猛打	qvmd
罄竹难书	qvnu
且战且退	qvqt
全知全能	qvqn
曲终人散	qvrs
气壮如牛	qvrn
弃之如敝屐	qvrj
趋之若鹜	qvrw
求知若渴	qvrk
弃之如敝履	qvrl
情之所钟	qvsv
亲者痛仇者快	qvtk
轻装上阵	qvuv
切中时弊	qvub
气壮山河	qvuh
缺肢少腿	qvut
起止时间	qvuj
其中之一	qvvy
求真务实	qvwu
千真万确	qvwq
曲折蜿蜒	qvwy
旗帜鲜明	qvxm
求知欲	qvy
奇珍异宝	qvyb
奇装异服	qvyf
切中要害	qvyh
情真意切	qvyq
掐指一算	qvys
其中一个	qvyg
取之有道	qvyd
取之于民	qvym
轻舟已过万重山	qvyu
清者自清	qvzq
强中自有强中手	qvzu
七歪八扭	qwbn
七弯八拐	qwbg
千万不要	qwby
情文并茂	qwbm
去伪存真	qwcv
去芜存菁	qwcj
请勿打扰	qwdr
前无古人	qwgr
奇文共赏	qwgu
趣味横生	qwhu
起舞弄清影	qwny
千万千万	qwqw
权威人士	qwru
悄无声息	qwux
全无是处	qwui
其味无穷	qwwq
权威性	qwx
趣味相投	qwxt
全无心肝	qwxg
趣闻轶事	qwyu
阒无一人	qwyr
去向不明	qxbm
其心必异	qxby
群星璀璨	qxcc
牵线搭桥	qxdq
情绪低落	qxdl
亲兄弟明算账	qxdv
奇形怪状	qxgv
清心寡欲	qxgy
群雄割据	qxgj
齐心合力	qxhl
勤学好问	qxhw
气象局	qxj
情绪激动	qxjd
穷凶极恶	qxje
穷形极相	qxjx
曲线救国	qxjg
谦虚谨慎	qxju
抢险救灾	qxjz
其心可诛	qxkv
勤学苦练	qxkl
清晰可见	qxkj
欺下瞒上	qxmu
穷乡僻壤	qxpr
穷乡僻野	qxpy
全心全意	qxqy
前些日子	qxrz
求贤若渴	qxrk
其臭如兰	qxrl
清新脱俗	qxts
前胸贴后背	qxtb
缺心少肺	qxuf
全校师生	qxuu
勤学善思	qxus
裙下之臣	qxvi
群雄逐鹿	qxvl
千辛万苦	qxwk
气象万千	qxwq
确信无疑	qxwy
齐心协力	qxxl
倾向于	qxy
抢先一步	qxyb
浅显易懂	qxyd
取信于民	qxym
泉下有知	qxyv
气息奄奄	qxyy
巧笑嫣然	qxyr
缺一不可	qybk
千依百顺	qybu
前言不搭后语	qyby
轻徭薄赋	qybf
去也匆匆	qycc
岂有此理	qycl
情有独钟	qydv
企业单位	qydw
趋炎附势	qyfu
曲意逢迎	qyfy
曲意奉承	qyfi
轻言放弃	qyfq
企业管理	qygl
奇言怪语	qygy
区域化	qyh
前因后果	qyhg
前言后语	qyhy
前仰后合	qyhh
轻于鸿毛	qyhm
强颜欢笑	qyhx
秋月春风	qyif
取义成仁	qyir
前一句	qyj
犬牙交错	qyjc
前一阶段	qyjd
情有可原	qyky
巧言令色	qyls
潜移默化	qymh
情意绵绵	qymm
亲眼目睹	qymd
强压怒火	qynh
欠一屁股债	qypv
确有其事	qyqu
巧言如簧	qyrh
妾意如棉	qyrm
亲眼所见	qysj
穷源溯流	qysl
企业所得税	qysu
窃玉偷香	qytx
潜意识中	qyuv
缺衣少食	qyuu
缺医少药	qyuy
迁延时日	qyur
潜意识里	qyul
权宜之计	qyvj
前一阵子	qyvz
企业文化	qywh
千言万语	qywy
趋于稳定	qywd
区域性	qyx
器宇轩昂	qyxa
轻言细语	qyxy
气焰熏天	qyxt
气焰嚣张	qyxv
青眼相加	qyxj
起源于	qyy
穷于应付	qyyf
求爷爷告奶奶	qyyn
其言也善	qyyu
青眼有加	qyyj
犬牙鹰爪	qyyv
潜滋暗长	qzav
千姿百态	qzbt
七嘴八舌	qzbu
穷则独善其身	qzdu
屈尊俯就	qzfj
签字盖章	qzgv
青藏高原	qzgy
签字画押	qzhy
亲自出马	qzim
亲子鉴定	qzjd
起早摸黑	qzmh
千载难逢	qznf
穷在闹市无人问	qznw
擒贼擒王	qzqw
穷则思变	qzsb
起早贪黑	qzth
确凿无疑	qzwy
擒贼先擒王	qzxw
千载一时	qzyu
蜷作一团	qzyt
日期	rq
认为	rw
日本	rb
如下	rx
认真	rv
人们	rm
容易	ry
人类	rl
认可	rk
热爱	ra
认同	rt
热闹	rn
人品	rp
认得	rd
肉包打狗	rbdg
绕不过去	rbgq
日本鬼子	rbgz
入不敷出	rbfi
人不犯我	rbfw
人比花娇	rbhj
人不犯我，我不犯人	rbfr
弱不禁风	rbjf
人不可貌相，海水不可斗量	rbkl
锐不可当	rbkd
人不可貌相	rbkx
日不落帝国	rblg
惹不起还躲不起	rbqq
认不认识	rbru
让不让人	rbrr
人不如故	rbrg
容不容易	rbry
如臂使指	rbuv
人不为己	rbwj
人不为己，天诛地灭	rbwm
人不像人	rbxr
日薄西山	rbxu
日不暇给	rbxj
肉包子打狗	rbzg
人才辈出	rcbi
如此而已	rcey
人才荟萃	rchc
人才济济	rcjj
如此看来	rckl
人财两空	rclk
如此说来	rcul
如此甚好	rcuh
如此这般	rcvb
如此之多	rcvd
冗词赘句	rcvj
如此下作	rcxz
如此一来	rcyl
肉嘟嘟	rdd
人大代表	rddb
人多地少	rddu
绕道而行	rdex
任督二脉	rdem
肉毒杆菌	rdgj
人多好干活	rdhh
人多口杂	rdkz
人多力量大	rdld
人淡如菊	rdrj
任打任骂	rdrm
认打认罚	rdrf
人多势众	rduv
人多手杂	rduz
人定胜天	rdut
人地生疏	rduu
人道主义	rdvy
入地无门	rdwm
热岛效应	rdxy
人丁兴旺	rdxw
人多眼杂	rdyz
热带雨林	rdyl
热得要死	rdys
人多嘴杂	rdzz
人非草木	rfcm
如法炮制	rfpv
人非圣贤	rfux
人逢喜事	rfxu
人浮于事	rfyu
人贩子	rfz
荣归故里	rggl
容光焕发	rghf
人工呼吸	rghx
人工降雨	rgjy
人过留名	rglm
人过留名，雁过留声	rglu
热锅里的蚂蚁	rgly
人高马大	rgmd
若干年后	rgnh
如隔三秋	rgsq
人工授精	rguj
人鬼殊途	rgut
热锅上的蚂蚁	rguy
人工智能	rgvn
人各有志	rgyv
如鲠在喉	rgzh
荣华富贵	rhfg
融会贯通	rhgt
日后好相见	rhhj
热火朝天	rhit
人海茫茫	rhmm
如花美眷	rhmj
任何人	rhr
如火如荼	rhrt
如花似玉	rhsy
如花似朵	rhsd
如花似锦	rhsj
如虎添翼	rhty
如何是好	rhuh
惹火烧身	rhuu
如获至宝	rhvb
人海战术	rhvu
人活一世	rhyu
如何自处	rhzi
日出而作	riez
如痴如醉	rirz
如痴如狂	rirk
人潮人海	rirh
日出日落	rirl
日常生活	riuh
人畜无害	riwh
